client_ssn,client_name,client_street,client_city,client_zip,client_state,client_dob,client_phone,firm_id,dept_num
117-52-4132,Flinn Thorlby,9 Spaight Way,Pittsburgh,15255,Pennsylvania,2021-01-07,4123973147,64-866-6708,6708-106
117-57-5935,Waly Seymer,6309 Gulseth Circle,Chicago,60646,Illinois,1924-11-27,3126375126,64-866-6708,6708-120
118-43-7650,Moe Hullins,904 Harbort Parkway,Paterson,7522,New Jersey,2012-02-09,2016847160,64-866-6708,6708-116
118-49-1172,Fitz Llopis,5 5th Circle,Memphis,38181,Tennessee,1945-01-13,9016541482,64-866-6708,6708-122
118-54-0686,Judie Thornham,7 Debs Place,Saint Paul,55108,Minnesota,2003-05-28,6513993871,31-448-4700,4700-104
118-56-2590,Erinna Lamport,87 East Avenue,Seattle,98133,Washington,1916-04-08,4253398008,38-183-8757,8757-122
119-20-0533,Marcia Cruden,4245 Bultman Plaza,Winston Salem,27157,North Carolina,1949-09-22,3366410416,38-183-8757,8757-112
119-24-0657,Annaliese Van Arsdall,176 Mifflin Parkway,Durham,27717,North Carolina,2013-06-24,9198195971,14-373-4613,4613-106
119-41-7069,Ephrem Milch,095 Kedzie Street,Bradenton,34210,Florida,1992-01-02,7274389271,14-373-4613,4613-118
119-80-5358,Saraann Copperwaite,24 Knutson Point,Oakland,94616,California,1953-10-19,5108066398,19-605-3360,3360-118
120-85-5354,Luci Pinch,1240 Swallow Alley,New York City,10060,New York,1974-04-29,6463513678,19-605-3360,3360-106
121-69-7746,Darnall Caizley,62302 Onsgard Drive,Staten Island,10305,New York,1997-08-12,7187133886,19-605-3360,3360-112
121-72-1546,Lorene Morales,7 Melrose Terrace,Tucson,85710,Arizona,1939-08-09,5207046236,24-809-5785,5785-104
122-75-9439,Che Kingstne,7 Logan Hill,San Francisco,94132,California,1944-07-07,4156163614,38-183-8757,8757-112
123-23-2529,Dicky Domingues,989 Graceland Place,Buffalo,14220,New York,1991-08-13,7167307380,38-183-8757,8757-122
124-34-8745,Michelle Friar,6 Orin Road,Houston,77276,Texas,2007-03-23,7139584925,96-251-8140,8140-122
124-37-6400,Livvyy Doorly,23 Glacier Hill Circle,Yonkers,10705,New York,1999-10-25,9142206770,96-251-8140,8140-124
124-64-1252,Darby Gasnell,06 Arrowood Lane,Kansas City,66160,Kansas,1906-06-15,9135404118,96-251-8140,8140-114
125-85-8796,Clarisse Betjes,3 Muir Court,Lansing,48912,Michigan,1911-07-30,5175746792,96-251-8140,8140-104
127-26-1151,Justus Loan,203 Eggendart Court,New York City,10175,New York,1958-10-07,6463888488,96-251-8140,8140-120
127-71-7057,Tomkin Ashfold,9 Oak Valley Road,Shreveport,71151,Louisiana,1914-08-13,3181785282,96-251-8140,8140-100
128-47-7447,Julie Gresch,5985 Eastwood Point,Chandler,85246,Arizona,2008-12-16,6029984587,96-251-8140,8140-102
128-81-1902,Jilli Baytrop,016 Forest Run Center,Philadelphia,19172,Pennsylvania,1937-07-10,2156261694,96-251-8140,8140-110
129-04-5147,Arabele Howson,4 Mariners Cove Point,Tampa,33647,Florida,1977-12-31,8137819409,14-384-2939,2939-102
131-23-4812,Waylon Blaymires,898 Amoth Trail,Washington,20057,District of Columbia,1997-11-07,2024916963,14-384-2939,2939-108
131-29-2897,Merell Ullyatt,6548 Eggendart Pass,Houston,77070,Texas,1904-10-01,2819870936,14-384-2939,2939-104
131-39-2255,Garrett Faragan,6 Hanson Way,New Orleans,70129,Louisiana,1919-06-05,5047262359,14-384-2939,2939-110
132-49-1376,Wallas Rabjohns,6 Prentice Point,Roanoke,24004,Virginia,1944-10-15,5407711046,14-384-2939,2939-100
133-97-3189,Monique Whitemarsh,86 Hintze Place,Washington,20575,District of Columbia,1998-01-19,2029264365,64-866-6708,6708-122
134-41-5217,Rodi Pattisson,8011 Golf Alley,Springfield,62711,Illinois,1957-05-27,2175051578,64-866-6708,6708-106
137-83-6751,Celle Lovstrom,97347 Walton Lane,El Paso,79989,Texas,1918-03-05,9154868268,64-866-6708,6708-120
139-40-0280,Matthus Ivison,3196 Lakewood Lane,El Paso,88584,Texas,1969-11-04,9155627727,64-866-6708,6708-116
139-80-7014,Jacky Gamlen,235 Grayhawk Street,Little Rock,72215,Arkansas,1915-11-02,5013575533,40-386-3571,3571-114
141-59-1390,Kathie Copley,72802 Magdeline Hill,Syracuse,13210,New York,1960-03-03,3154851971,40-386-3571,3571-122
144-54-6199,Lotta Boness,492 Cardinal Plaza,Spokane,99220,Washington,1912-08-14,5092244312,40-386-3571,3571-102
144-62-2272,Rudd MacDwyer,001 Russell Avenue,Jefferson City,65105,Missouri,1981-04-07,5735016459,52-271-5785,5785-110
146-12-2325,Carlyn Reddihough,183 Hintze Avenue,Hartford,6105,Connecticut,1969-04-19,8602063153,52-271-5785,5785-122
147-07-8137,Mathew Proudley,42 Hanson Point,Dallas,75260,Texas,1967-07-02,2146916175,52-271-5785,5785-114
147-21-5857,Carlin Ullock,0194 Village Alley,Van Nuys,91499,California,1973-06-20,2139881421,27-836-4773,4773-104
148-41-9859,Hobie Skully,90349 Mcbride Point,Tucson,85725,Arizona,2009-11-27,5203138184,27-836-4773,4773-118
150-20-5274,Mada Nestor,4 Paget Street,Tampa,33673,Florida,1937-07-09,8136160640,27-836-4773,4773-102
150-24-7726,Rosie Schout,04052 Portage Way,Mesa,85210,Arizona,1954-01-06,6027237481,27-836-4773,4773-112
151-05-9205,Abe MacSorley,857 Mitchell Street,Saint Cloud,56372,Minnesota,1916-06-07,3206631920,36-768-2911,2911-114
151-85-4570,Emalee Sudran,900 Talmadge Street,Columbus,43226,Ohio,1926-10-23,6149486334,36-768-2911,2911-118
151-89-1526,Dorian Broggio,6904 Utah Alley,Syracuse,13210,New York,1956-01-05,3151923473,36-768-2911,2911-106
152-72-3619,Don Kenton,8 Anhalt Pass,Portland,97296,Oregon,1993-01-03,5038629289,36-768-2911,2911-122
152-77-8634,Cathrine Snartt,98249 Washington Park,Lubbock,79410,Texas,1918-04-28,8069519061,64-866-6708,6708-120
152-94-4764,Lainey Osbourne,2 4th Park,Baton Rouge,70894,Louisiana,2010-05-23,2259499458,64-866-6708,6708-116
154-85-8935,Ozzy Armes,5490 Sauthoff Point,San Diego,92115,California,1955-02-21,6197598929,64-866-6708,6708-122
157-98-4869,Dickie Singleton,0580 Gina Point,Atlanta,30380,Georgia,1991-08-30,4041558225,64-866-6708,6708-106
158-58-4198,Gabie Hewell,00 Hanover Court,Carlsbad,92013,California,1959-12-26,7604668878,69-192-7922,7922-124
159-83-2149,Emmaline Hartless,02 Annamark Lane,Lincoln,68524,Nebraska,2006-08-14,4021564955,77-304-4805,4805-104
160-48-8824,Free Dicke,22 Prairieview Trail,Philadelphia,19104,Pennsylvania,2001-12-12,6102916398,77-304-4805,4805-108
160-51-6345,Arluene Musker,94 Starling Avenue,El Paso,88563,Texas,1979-07-16,9158181960,87-043-6401,6401-108
161-09-3624,Mikael Byron,3 Anniversary Park,Las Vegas,89110,Nevada,1985-03-24,7021731235,87-043-6401,6401-112
163-13-1834,Mitzi Currall,43 Charing Cross Place,Boynton Beach,33436,Florida,1903-01-10,5614580149,87-043-6401,6401-106
164-30-6032,Brittney Scottesmoor,55539 Hagan Place,Arlington,76004,Texas,1966-11-24,8175472550,87-043-6401,6401-104
165-97-2738,Josias Rattenbury,02 Meadow Ridge Plaza,Houston,77050,Texas,1977-02-05,2817345513,87-043-6401,6401-100
166-44-4687,Karlik Crippell,67 Village Terrace,New Orleans,70124,Louisiana,1928-08-06,9859622762,87-043-6401,6401-114
166-45-6331,Kile Hickisson,1151 Steensland Lane,Boise,83716,Idaho,2014-05-29,2085280515,87-043-6401,6401-124
167-26-5669,Kelly Willshear,07 Elgar Street,Naples,34102,Florida,1964-07-12,9418537288,87-043-6401,6401-110
168-84-4918,Sam Jobern,2576 Old Shore Avenue,Rochester,14639,New York,1999-08-20,5854540942,18-439-1489,1489-100
169-07-5121,Harriott Mayor,3478 Westridge Road,Clearwater,33758,Florida,1990-01-18,8132060742,18-439-1489,1489-110
169-58-0703,Gerrilee Ferrini,1813 Wayridge Circle,Melbourne,32919,Florida,1917-01-06,3211935585,18-439-1489,1489-124
170-38-9299,Bradley Deniseau,5 Kedzie Avenue,Huntsville,35895,Alabama,1917-03-14,2563551590,44-618-0600,0600-122
171-56-3770,Emory Donati,4 Wayridge Avenue,Baltimore,21203,Maryland,2017-01-20,4104988355,44-618-0600,0600-112
171-70-6387,Maxy Revill,4 Petterle Plaza,Fort Lauderdale,33315,Florida,1977-05-07,9544223201,44-618-0600,0600-104
171-84-8932,Emelina Brahmer,17 Haas Drive,Tacoma,98424,Washington,1934-05-17,2063414562,44-618-0600,0600-110
173-25-1326,Antoni Ducarne,675 Hollow Ridge Crossing,Milwaukee,53277,Wisconsin,1977-10-27,4149123653,74-575-2423,2423-122
173-50-4821,Gunner Salsberg,229 Ridge Oak Alley,Worcester,1654,Massachusetts,1924-12-17,5086931783,74-575-2423,2423-108
173-77-6444,Maureen Howman,29 Eagle Crest Street,Austin,78759,Texas,1947-08-08,5129501627,74-575-2423,2423-116
174-06-6787,Gamaliel Echallier,4 Harper Junction,New York City,10275,New York,1962-06-18,2123796812,74-575-2423,2423-124
174-86-2671,Diann Sheldrick,831 Oak Valley Pass,Santa Fe,87592,New Mexico,1947-01-02,5054838874,77-304-4805,4805-108
175-60-4814,Dulce Soanes,6580 Steensland Road,Des Moines,50335,Iowa,1991-05-04,5155893859,77-304-4805,4805-104
176-43-0149,Sherie Woodyear,97 Rusk Place,San Francisco,94177,California,1965-08-15,4158016268,22-285-1947,1947-106
176-52-9376,Crystie Elderkin,99316 Stang Lane,Waco,76711,Texas,1934-01-03,2546599634,22-285-1947,1947-112
177-17-3694,Bo Salthouse,73 Lotheville Center,Washington,20557,District of Columbia,1905-01-02,2027955891,22-285-1947,1947-124
177-26-0021,Wally Crichmere,187 Marquette Center,Crawfordsville,47937,Indiana,2019-11-26,7651093028,31-448-4700,4700-104
178-40-2473,Conchita Turneaux,82284 Brentwood Way,Madison,53790,Wisconsin,1995-10-17,6086524043,74-575-2423,2423-122
180-46-1381,Bette Kiefer,07 Talmadge Circle,Jamaica,11447,New York,1953-06-28,9179328348,74-575-2423,2423-116
180-75-8703,Dewey Marsham,32968 Dapin Pass,San Antonio,78245,Texas,1941-04-13,8304046314,74-575-2423,2423-108
182-91-2693,Lyle Byrom,234 1st Place,San Bernardino,92424,California,1960-06-01,9097468468,74-575-2423,2423-124
184-27-3835,Jenni Vernazza,1496 Mendota Avenue,Kansas City,64153,Missouri,2011-07-08,8166617337,39-256-1100,1100-100
184-39-0635,Laughton Gent,66310 Sloan Drive,Montgomery,36104,Alabama,2016-09-02,3345651911,39-256-1100,1100-116
186-44-5533,Maximilien Jeannaud,3 Jenifer Park,Hyattsville,20784,Maryland,1927-08-03,3014516357,39-256-1100,1100-104
186-49-1271,Sofie Gange,8817 Thompson Trail,Jamaica,11407,New York,2014-09-30,5166365797,39-256-1100,1100-110
186-98-1056,Kelsy Pocknell,2590 Pierstorff Way,Topeka,66667,Kansas,1972-01-26,7851909274,80-711-7692,7692-106
187-90-8458,Guy Schimonek,71 Becker Terrace,Saint Paul,55123,Minnesota,1945-06-24,6126637177,80-711-7692,7692-118
187-97-7293,Shawna Waterstone,94634 Waywood Parkway,Trenton,8619,New Jersey,1945-09-19,6094882630,80-711-7692,7692-120
191-06-7549,Nettle Blenkhorn,5522 Dovetail Hill,Atlanta,31196,Georgia,1916-08-24,4047912499,14-373-4613,4613-118
191-11-7124,Brod Belfitt,07384 Continental Avenue,Lincoln,68524,Nebraska,1953-09-11,4025976090,14-373-4613,4613-106
191-33-5167,Liana Benezet,1 Commercial Terrace,Norcross,30092,Georgia,1939-10-23,6782145643,77-304-4805,4805-104
191-52-4158,Clemmie Dickons,4370 Glacier Hill Hill,Charlotte,28210,North Carolina,1998-12-31,7046922969,77-304-4805,4805-108
192-53-5297,Felecia McCartney,55 Crownhardt Circle,Portland,97240,Oregon,1912-09-29,9713549995,96-251-8140,8140-110
193-32-4652,Devonne Cowley,31906 Kropf Lane,Montgomery,36195,Alabama,1960-01-16,3341938298,96-251-8140,8140-104
193-64-7860,Magnum Gerling,40 Vera Junction,Orlando,32803,Florida,1942-11-20,4079227538,96-251-8140,8140-102
194-02-3189,Kim Iohananof,4138 Arkansas Crossing,Washington,20210,District of Columbia,1904-11-30,2026873891,96-251-8140,8140-100
195-10-1006,Sansone Costy,9 Talisman Trail,Tacoma,98464,Washington,1939-01-20,2534488041,96-251-8140,8140-120
196-80-9763,Pollyanna Emmatt,625 Pennsylvania Hill,Houston,77271,Texas,2015-09-22,7134538146,96-251-8140,8140-114
197-31-5888,Ashton Murie,1793 Mitchell Avenue,Dallas,75241,Texas,1967-08-22,4693425118,96-251-8140,8140-124
200-94-1797,Samantha Rookeby,8440 Morningstar Park,Reston,22096,Virginia,1916-06-09,5714531286,96-251-8140,8140-122
201-99-9915,Niel Atcherley,5 Tomscot Street,Olympia,98506,Washington,1946-03-23,3602376667,78-297-6374,6374-102
202-08-7294,Gleda Heffy,3 Wayridge Park,Pocatello,83206,Idaho,1985-10-11,2086387739,18-439-1489,1489-110
202-72-7537,Bennie Ezzle,8 Linden Point,Rochester,14614,New York,2018-02-16,5858580580,18-439-1489,1489-100
203-13-9456,Silvana Postians,6675 Debra Trail,Cincinnati,45213,Ohio,1952-12-09,5133119719,18-439-1489,1489-124
203-33-8241,Elsie Quilleash,3 Corscot Place,Sacramento,95823,California,1931-07-12,5109565664,40-386-3571,3571-102
203-42-2448,Theadora Emmerson,3 Burning Wood Drive,New York City,10019,New York,1941-10-06,7186645095,40-386-3571,3571-122
203-84-1339,Gena Babst,607 Prairie Rose Avenue,San Francisco,94116,California,1994-06-14,4154073833,40-386-3571,3571-114
204-41-1029,Steffi Sugge,7099 Forster Drive,Oklahoma City,73124,Oklahoma,1973-06-17,4056673887,40-386-3571,3571-114
204-46-1564,Dorette Spivey,31080 Pearson Junction,Augusta,30905,Georgia,2020-10-21,7068253544,40-386-3571,3571-122
204-49-8294,Justis De Ambrosi,481 La Follette Center,Dayton,45454,Ohio,1936-06-18,9372901692,40-386-3571,3571-102
206-19-3646,Adena Mourton,87032 Oak Place,Baltimore,21265,Maryland,1930-03-24,4102221268,96-251-8140,8140-122
206-73-5019,Cesya Leverette,7 East Place,Charlotte,28210,North Carolina,1959-01-14,7042273601,96-251-8140,8140-124
208-77-6482,Reeva Doudny,1 Fair Oaks Crossing,Louisville,40215,Kentucky,1984-07-16,5028249395,96-251-8140,8140-100
210-67-5541,Susie Combes,9 Montana Way,Oakland,94627,California,1930-01-05,5108464866,96-251-8140,8140-102
210-70-7483,Wylie Clarridge,50 Macpherson Lane,Lafayette,70593,Louisiana,1943-12-01,3371130849,96-251-8140,8140-120
212-20-1544,Dorie Trodler,77 Ramsey Drive,Long Beach,90831,California,1995-11-09,5622093970,96-251-8140,8140-104
212-31-7516,Sara-ann Dutnell,0 Golf Course Point,Minneapolis,55480,Minnesota,1983-10-17,6129533976,96-251-8140,8140-114
215-25-9766,Alberta Palle,3988 Heffernan Alley,Duluth,30195,Georgia,1907-08-11,7701297453,96-251-8140,8140-110
215-48-0866,Rois MacMenemy,398 Mifflin Street,Springfield,62718,Illinois,1929-06-17,2173426257,96-251-8140,8140-114
216-21-5371,Locke Chatto,57 Sullivan Court,Miami,33180,Florida,1917-03-16,3058332006,96-251-8140,8140-100
216-55-8039,Ingra Walwood,8540 Kedzie Parkway,Fort Myers,33906,Florida,1915-06-28,2399035161,96-251-8140,8140-102
218-06-3500,Adele Dalrymple,16536 Walton Street,Appleton,54915,Wisconsin,1971-11-10,9206139711,96-251-8140,8140-104
218-18-9819,Breena Bennedick,66 Maple Wood Alley,Kansas City,64130,Missouri,2000-04-19,8164728552,96-251-8140,8140-110
218-35-6921,Corina Blowen,355 Novick Hill,Houston,77223,Texas,1992-02-15,7139825962,96-251-8140,8140-122
218-66-7319,Merralee Learned,98 Mandrake Court,Billings,59112,Montana,1976-12-02,4061806396,96-251-8140,8140-120
218-68-0106,Angeline Vedeniktov,0175 Hermina Center,Fort Lauderdale,33310,Florida,1964-06-02,7549068159,96-251-8140,8140-124
219-17-9000,Olva Weldrake,78 Carey Alley,Charlotte,28247,North Carolina,1945-01-09,7042040826,52-271-5785,5785-110
221-60-3815,Tiebout Barnfather,1348 Toban Alley,Elmira,14905,New York,1958-10-19,6071487342,52-271-5785,5785-122
221-61-7046,Carolina Gallatly,0 Texas Plaza,Brooklyn,11225,New York,1952-11-05,7186461013,52-271-5785,5785-114
221-81-1932,Ellynn Annion,81378 Spenser Circle,Colorado Springs,80995,Colorado,1981-10-22,7195498268,77-304-4805,4805-108
222-23-7376,Morley Torrans,8955 Mariners Cove Center,Amarillo,79165,Texas,1904-11-19,8064183588,77-304-4805,4805-104
222-26-4759,Ophelia Edwin,8 Miller Avenue,Warren,44485,Ohio,1919-07-27,3302589078,93-738-4268,4268-124
223-64-2200,Cayla Ginnane,848 Petterle Terrace,Columbus,43215,Ohio,1910-04-25,5131078283,93-738-4268,4268-106
224-14-7256,Isidor Hassent,74113 Ludington Street,Fort Worth,76198,Texas,2005-08-12,6823798393,28-990-1568,1568-100
224-46-7355,Angelina Garlette,9 Lakewood Plaza,Washington,20046,District of Columbia,1946-03-12,2024382756,28-990-1568,1568-108
224-86-7521,Micah Van Hove,53 Mallory Way,Washington,20591,District of Columbia,1987-12-09,2025140512,28-990-1568,1568-124
226-06-1825,Ogdon Gillespey,233 Namekagon Street,Waco,76705,Texas,1941-01-13,2543309747,38-183-8757,8757-122
226-72-9321,Tobe Henstone,039 Coolidge Lane,Peoria,61614,Illinois,1963-11-04,3096555723,38-183-8757,8757-112
227-04-9429,Hildagarde Thripp,056 Oak Valley Avenue,Raleigh,27690,North Carolina,2009-12-29,9197834282,36-768-2911,2911-118
228-60-7810,Lizbeth Tritton,570 La Follette Street,San Francisco,94126,California,2000-10-18,4157720765,36-768-2911,2911-106
228-83-5535,Hanny Espinha,623 Chive Junction,Birmingham,35220,Alabama,1942-07-14,2059177521,36-768-2911,2911-114
229-29-4099,Izzy Hun,64 Golf View Pass,Roanoke,24040,Virginia,1953-08-09,5402378717,36-768-2911,2911-122
230-12-1614,Dick Kelloch,47 Hintze Pass,Virginia Beach,23464,Virginia,1941-12-23,7571427729,82-858-3085,3085-100
231-08-2411,Lari Pudan,491 Tomscot Alley,Evansville,47705,Indiana,1905-08-21,8126282810,99-416-9999,9999-100
231-14-3431,Leigh Bennellick,29 Thierer Parkway,Lynchburg,24503,Virginia,1917-07-16,4341803832,31-448-4700,4700-104
231-74-1271,Quinton Jamblin,3 Commercial Park,Kissimmee,34745,Florida,1926-04-10,4075551972,05-212-3704,3704-104
233-73-6368,Boycey Dunnett,1 Bartillon Terrace,Chicago,60681,Illinois,1961-07-09,3123532080,31-448-4700,4700-104
235-18-6698,Dare Barwell,62 Sage Trail,Jacksonville,32259,Florida,2021-05-07,9044839621,44-618-0600,0600-112
235-30-2622,Lorrin Penas,80 Bonner Court,Memphis,38143,Tennessee,1947-03-22,9014979967,44-618-0600,0600-122
235-76-1815,Blane Davydenko,3 Aberg Junction,Anaheim,92812,California,2022-01-12,7148878977,44-618-0600,0600-110
236-97-7110,Eve Rimes,23 Maywood Plaza,Charleston,25389,West Virginia,1931-03-20,3043194179,44-618-0600,0600-104
237-62-6930,Meredith Lorincz,9 Toban Parkway,Baton Rouge,70883,Louisiana,1917-12-30,2259347728,22-285-1947,1947-112
239-18-6075,Jourdain Scrimgeour,0 Roth Crossing,York,17405,Pennsylvania,1918-05-23,7177821816,22-285-1947,1947-124
239-53-0528,Hollis Tettley,234 Iowa Drive,New Orleans,70129,Louisiana,1997-07-26,5044629703,22-285-1947,1947-106
240-10-8370,Ewell Hrinchishin,5 Truax Junction,Salt Lake City,84140,Utah,1918-03-31,8019503004,96-251-8140,8140-124
240-90-5841,Delly Gilhooley,08 Manufacturers Alley,Oklahoma City,73147,Oklahoma,1963-12-15,4053831715,96-251-8140,8140-120
241-83-7732,Bowie Furlong,505 Macpherson Street,Fort Worth,76105,Texas,2009-09-16,6821320162,96-251-8140,8140-122
242-55-7841,Pippy Dalman,59 Clove Park,Phoenix,85045,Arizona,1945-10-17,6021999497,96-251-8140,8140-114
243-16-3413,Kilian De Winton,373 Sunnyside Trail,Corpus Christi,78475,Texas,1910-12-28,3612212040,96-251-8140,8140-102
244-62-8598,Brigg Dinneen,0836 Independence Center,Saint Louis,63158,Missouri,2005-05-08,3144653215,96-251-8140,8140-100
244-99-5355,Linnie Ayton,152 Roth Point,Oxnard,93034,California,1923-11-24,8058895503,96-251-8140,8140-110
247-12-9025,Cleo Longea,11543 Ronald Regan Street,Sacramento,95865,California,1988-08-15,9161387992,96-251-8140,8140-104
248-29-1717,Merell Cressingham,7806 Tennyson Place,Birmingham,35225,Alabama,1989-05-19,2055342358,93-738-4268,4268-106
249-14-8089,Sarajane Moxstead,688 Marcy Plaza,Bakersfield,93399,California,1990-08-13,6613642573,93-738-4268,4268-124
249-25-4917,Heidi Gamell,645 Carberry Point,New Orleans,70174,Louisiana,1905-11-14,5044796994,44-618-0600,0600-110
249-46-6587,Marijo McCarlie,1 Thierer Terrace,Boston,2163,Massachusetts,1948-05-20,6172955799,44-618-0600,0600-112
249-58-7754,Aveline Fumagalli,61 Vernon Way,Sacramento,95833,California,1999-11-14,5308516996,44-618-0600,0600-122
250-55-6191,Clary Berendsen,7163 Ryan Point,Washington,20380,District of Columbia,1910-08-20,2022946915,44-618-0600,0600-104
252-44-3266,Willabella O'Glassane,2 Twin Pines Hill,Seattle,98115,Washington,1936-09-19,2063927901,96-251-8140,8140-102
252-66-6800,Ailis Vallender,619 Old Gate Crossing,Clearwater,34629,Florida,1970-01-10,7271840678,96-251-8140,8140-100
252-88-1109,Maury Bau,541 Tennessee Hill,Denver,80209,Colorado,1965-11-26,7198243663,96-251-8140,8140-104
253-11-7229,Burk Chadburn,88052 Charing Cross Pass,Lancaster,17605,Pennsylvania,1903-10-06,7171172451,96-251-8140,8140-120
253-48-2392,Marybelle Lubman,87 Lukken Street,Champaign,61825,Illinois,1965-07-13,2178450756,96-251-8140,8140-110
254-04-6928,Mella Carss,59264 Morningstar Plaza,Hartford,6145,Connecticut,2008-08-26,8603911467,96-251-8140,8140-114
254-82-4881,Bogart Hesbrook,027 Hudson Center,Grand Rapids,49518,Michigan,1902-02-14,6163904944,96-251-8140,8140-124
256-16-6587,Ferdinanda Ielden,50708 Roth Trail,Des Moines,50369,Iowa,1980-10-22,5157519360,96-251-8140,8140-122
256-19-9298,Penrod Brann,9258 Cambridge Way,Prescott,86305,Arizona,1959-05-19,5204797398,44-618-0600,0600-122
256-80-9584,Kip Rout,5210 Bluestem Circle,Atlanta,30343,Georgia,1968-12-30,4041395106,44-618-0600,0600-110
257-25-2217,Adorne Maddick,48058 Basil Court,Lansing,48919,Michigan,1907-12-19,5177950280,44-618-0600,0600-104
257-31-5969,Magdalen Lushey,72728 Bashford Drive,Dallas,75260,Texas,1909-03-01,2145240944,44-618-0600,0600-112
258-04-7185,Adela Memmory,8 Sycamore Park,Springfield,45505,Ohio,1922-11-05,9378488617,22-285-1947,1947-112
258-53-0285,Ally Vina,127 Dixon Circle,El Paso,79905,Texas,2016-12-23,9157529834,22-285-1947,1947-106
259-69-8391,Forrester Dun,944 Red Cloud Drive,Garden Grove,92844,California,1987-11-13,7144774540,22-285-1947,1947-124
259-89-0821,Yorke Stackbridge,77 Stone Corner Point,Pittsburgh,15210,Pennsylvania,1905-02-08,4124050452,18-439-1489,1489-100
260-03-9447,Allix Lavis,33 Helena Pass,Washington,20420,District of Columbia,1942-03-12,2022614587,18-439-1489,1489-124
261-46-3632,Sam Hearty,597 Milwaukee Street,Longview,75605,Texas,1950-04-11,9036292625,18-439-1489,1489-110
262-86-5534,Rosetta Rosensaft,498 Golden Leaf Point,Beaufort,29905,South Carolina,2003-09-06,8438506824,22-285-1947,1947-124
264-73-8459,Madlin Meltetal,8 Eggendart Plaza,Scranton,18505,Pennsylvania,2009-10-24,5701193556,22-285-1947,1947-106
264-73-8976,Viviene Mowen,8702 Sugar Trail,Inglewood,90305,California,1953-03-26,3106528514,22-285-1947,1947-112
264-85-7014,Johnnie Rowbury,684 Hermina Alley,Vienna,22184,Virginia,2014-01-12,5712297349,36-768-2911,2911-122
266-64-9210,Gerardo Harragin,2 Hoffman Crossing,Provo,84605,Utah,2004-03-15,8017307877,36-768-2911,2911-118
266-71-0615,Kally McArtan,2936 Veith Pass,Roanoke,24034,Virginia,1904-04-04,5406777201,36-768-2911,2911-114
267-08-6387,Butch Duley,08 Hermina Terrace,Louisville,40233,Kentucky,1967-07-21,5024905442,36-768-2911,2911-106
267-09-1077,Morgan Truckell,26465 Bluestem Parkway,Johnstown,15906,Pennsylvania,1976-03-31,8143012627,82-858-3085,3085-100
267-22-7808,Ashby Grugerr,3444 Glendale Center,Chicago,60691,Illinois,1991-05-20,3124096136,22-323-0813,0813-114
