emp_ssn,case_id,hrs
124-06-6949,137931,975
124-06-6949,203886,156
124-06-6949,225381,472
124-06-6949,242391,245
124-06-6949,248004,639
124-06-6949,271203,165
124-06-6949,286116,562
124-06-6949,299800,92
124-06-6949,308770,629
124-06-6949,399383,301
124-06-6949,406677,947
124-06-6949,455957,194
124-06-6949,487489,822
124-06-6949,572585,98
124-06-6949,590145,580
124-06-6949,814249,332
124-06-6949,866844,604
124-06-6949,867918,163
127-98-6975,326822,853
127-98-6975,506047,301
127-98-6975,582986,173
127-98-6975,631081,962
127-98-6975,680653,214
127-98-6975,803576,830
127-98-6975,837330,17
127-98-6975,851242,495
127-98-6975,905952,17
127-98-6975,909354,6
127-98-6975,962542,216
129-67-0193,130121,546
129-67-0193,159883,374
129-67-0193,179031,409
129-67-0193,226373,152
129-67-0193,233385,891
129-67-0193,506091,503
129-67-0193,565048,485
129-67-0193,591422,896
129-67-0193,771077,24
129-67-0193,849488,636
129-67-0193,877491,458
129-67-0193,902881,675
129-67-0193,937682,773
129-75-5405,197175,863
129-75-5405,282309,245
129-75-5405,386738,62
129-75-5405,427594,684
129-75-5405,543791,78
129-75-5405,590067,634
129-75-5405,701414,543
129-75-5405,829899,15
129-75-5405,865182,618
129-89-0414,142550,465
129-89-0414,151369,402
129-89-0414,217408,74
129-89-0414,284666,37
129-89-0414,315844,53
129-89-0414,411653,467
129-89-0414,452510,575
129-89-0414,498280,71
129-89-0414,581939,23
129-89-0414,582525,440
129-89-0414,645029,862
129-89-0414,673753,529
129-89-0414,772924,480
129-89-0414,774930,797
129-89-0414,794583,801
129-89-0414,824319,436
129-89-0414,901941,812
129-89-0414,902425,807
129-89-0414,904673,677
129-89-0414,927406,155
129-89-0414,944525,826
129-89-0414,960976,305
132-66-1834,114444,235
132-66-1834,155489,282
132-66-1834,160799,519
132-66-1834,178345,515
132-66-1834,212480,376
132-66-1834,234934,693
132-66-1834,266414,375
132-66-1834,422691,620
132-66-1834,989637,969
132-66-1834,990705,750
134-35-3337,231679,287
134-35-3337,261759,609
134-35-3337,433948,744
134-35-3337,499657,615
134-35-3337,676134,704
134-35-3337,681554,983
134-35-3337,822509,111
134-35-3337,882327,515
134-35-3337,911862,397
134-35-3337,981975,141
135-15-7078,105235,930
135-15-7078,150344,112
135-15-7078,189592,380
135-15-7078,312411,345
135-15-7078,409161,505
135-15-7078,602220,607
135-15-7078,642797,488
135-15-7078,674112,340
135-15-7078,815917,759
135-15-7078,905015,507
135-16-6640,382037,939
135-16-6640,579842,607
135-16-6640,936167,877
135-16-6640,947009,824
135-16-6640,983862,618
136-51-8043,110603,524
136-51-8043,198364,882
136-51-8043,351552,117
136-51-8043,394641,651
136-51-8043,716073,411
136-51-8043,718363,646
136-51-8043,739152,696
136-51-8043,816613,408
136-51-8043,910149,835
138-74-6218,127857,679
138-74-6218,192413,683
138-74-6218,197645,171
138-74-6218,207985,95
138-74-6218,272833,480
138-74-6218,329590,232
138-74-6218,362329,970
138-74-6218,369688,309
138-74-6218,391846,230
138-74-6218,429195,284
138-74-6218,754826,882
138-74-6218,904932,992
138-74-6218,930767,854
138-97-1517,143127,921
138-97-1517,333050,570
138-97-1517,366649,766
138-97-1517,416907,835
138-97-1517,596272,71
138-97-1517,699176,232
138-97-1517,859378,741
138-97-1517,885641,343
138-97-1517,907404,92
138-97-1517,954860,183
139-50-9142,211852,27
139-50-9142,243026,102
139-50-9142,300401,421
139-50-9142,341005,544
139-50-9142,379279,467
139-50-9142,387024,631
139-50-9142,398725,212
139-50-9142,419350,575
139-50-9142,449268,661
139-50-9142,470346,139
139-50-9142,496205,230
139-50-9142,599907,429
139-50-9142,612527,855
139-50-9142,647490,128
139-50-9142,727451,898
139-50-9142,736823,455
139-50-9142,750212,823
139-50-9142,819806,952
139-50-9142,885696,665
140-22-5423,326822,141
140-22-5423,506047,7
140-22-5423,582986,37
140-22-5423,631081,247
140-22-5423,680653,223
140-22-5423,803576,747
140-22-5423,837330,341
140-22-5423,851242,58
140-22-5423,905952,229
140-22-5423,909354,374
140-22-5423,962542,588
140-86-5145,160113,635
140-86-5145,206981,918
140-86-5145,284313,98
140-86-5145,332677,298
140-86-5145,531502,593
140-86-5145,560887,696
140-86-5145,568273,374
140-86-5145,596677,786
140-86-5145,733042,482
140-86-5145,785147,711
140-86-5145,787313,551
140-86-5145,919435,332
140-86-5145,960154,118
141-90-0882,284289,197
141-90-0882,337126,72
141-90-0882,446283,6
141-90-0882,546964,207
141-90-0882,611270,777
141-90-0882,689509,916
143-12-9031,138702,547
143-12-9031,297051,963
143-12-9031,316932,330
143-12-9031,328132,970
143-12-9031,396454,136
143-12-9031,475745,893
143-12-9031,597019,527
143-12-9031,632773,137
143-12-9031,667802,154
143-12-9031,740072,733
143-12-9031,853273,837
143-12-9031,879209,39
143-12-9031,904484,933
143-12-9031,946070,725
144-49-6336,153108,600
144-49-6336,208851,642
144-49-6336,403115,413
144-49-6336,455684,180
144-49-6336,463398,563
144-49-6336,521795,874
144-49-6336,578584,546
144-49-6336,737410,14
144-49-6336,812994,819
144-49-6336,902308,73
144-49-6336,946403,401
144-49-6336,965844,88
147-11-2492,326822,285
147-11-2492,506047,707
147-11-2492,582986,765
147-11-2492,631081,149
147-11-2492,680653,595
147-11-2492,803576,480
147-11-2492,837330,751
147-11-2492,851242,296
147-11-2492,905952,718
147-11-2492,909354,955
147-11-2492,962542,112
147-25-5196,211678,291
147-25-5196,268831,648
147-25-5196,295684,15
147-25-5196,323411,373
147-25-5196,419404,150
147-25-5196,460420,293
147-25-5196,742969,491
147-25-5196,776450,851
147-25-5196,781100,153
147-25-5196,826079,720
147-25-5196,893418,259
147-25-5196,893621,920
147-25-5196,976790,705
149-29-8407,101681,535
149-29-8407,152994,864
149-29-8407,197263,559
149-29-8407,199404,108
149-29-8407,209029,891
149-29-8407,231470,957
149-29-8407,294771,368
149-29-8407,314018,860
149-29-8407,391655,647
149-29-8407,427470,183
149-29-8407,441836,621
149-29-8407,472473,236
149-29-8407,490790,520
149-29-8407,514390,162
149-29-8407,546632,569
149-29-8407,576938,854
149-29-8407,591164,724
149-29-8407,623578,651
149-29-8407,784115,728
149-29-8407,827744,325
149-29-8407,874296,86
149-29-8407,926673,585
149-44-1921,106833,269
149-44-1921,168244,793
149-44-1921,232025,161
149-44-1921,242036,909
149-44-1921,666187,307
149-44-1921,754326,739
149-44-1921,906074,841
150-30-3099,113455,147
150-30-3099,165740,194
150-30-3099,193263,826
150-30-3099,359558,1000
150-30-3099,628574,248
150-30-3099,661700,381
150-30-3099,759709,556
150-30-3099,871973,494
150-30-3099,880398,329
150-30-3099,933059,866
150-30-3099,935434,731
150-30-3099,946515,155
150-30-3099,946958,856
150-30-3099,982874,46
150-30-3099,988272,509
154-07-9921,103872,206
154-07-9921,160477,409
154-07-9921,179348,478
154-07-9921,213982,819
154-07-9921,341564,880
154-07-9921,360573,351
154-07-9921,368985,401
154-07-9921,478090,615
154-07-9921,480781,906
154-07-9921,495016,523
154-07-9921,597557,285
154-07-9921,604382,104
154-07-9921,662890,210
154-07-9921,745259,746
154-07-9921,788618,513
154-07-9921,899396,424
154-07-9921,910117,120
154-07-9921,943616,338
154-07-9921,944825,120
154-07-9921,997954,690
162-52-4525,291739,526
162-52-4525,495129,1000
162-52-4525,575650,562
162-52-4525,613310,180
162-52-4525,624140,349
162-52-4525,829984,996
162-52-4525,835435,869
163-73-4864,111442,607
163-73-4864,191460,391
163-73-4864,251773,404
163-73-4864,285280,569
163-73-4864,340146,827
163-73-4864,357972,612
163-73-4864,366666,476
163-73-4864,468076,179
163-73-4864,646808,40
163-73-4864,748094,400
163-73-4864,810053,945
163-73-4864,870025,150
165-46-3512,406369,241
165-46-3512,471796,865
165-46-3512,506971,179
165-46-3512,559434,91
165-46-3512,887922,700
165-46-3512,891515,7
165-46-3512,916038,115
165-46-3512,936118,463
165-46-3512,976478,431
166-24-5698,110603,283
166-24-5698,198364,330
166-24-5698,351552,781
166-24-5698,394641,423
166-24-5698,716073,89
166-24-5698,718363,407
166-24-5698,739152,677
166-24-5698,816613,716
166-24-5698,910149,886
166-66-0721,160113,191
166-66-0721,206981,893
166-66-0721,284313,730
166-66-0721,332677,341
166-66-0721,531502,338
166-66-0721,560887,828
166-66-0721,568273,553
166-66-0721,596677,164
166-66-0721,733042,860
166-66-0721,785147,80
166-66-0721,787313,530
166-66-0721,919435,809
166-66-0721,960154,475
167-13-6696,176963,153
167-13-6696,273708,170
167-13-6696,346122,685
167-13-6696,406276,648
167-13-6696,567565,88
168-42-4136,142949,475
168-42-4136,213468,710
168-42-4136,402648,271
168-42-4136,441826,423
168-42-4136,646611,270
168-42-4136,737615,993
168-42-4136,747448,729
168-42-4136,780021,558
168-42-4136,830134,51
168-42-4136,916726,55
168-48-7836,130121,49
168-48-7836,159883,991
168-48-7836,179031,264
168-48-7836,226373,160
168-48-7836,233385,457
168-48-7836,506091,201
168-48-7836,565048,282
168-48-7836,591422,394
168-48-7836,771077,633
168-48-7836,849488,996
168-48-7836,877491,597
168-48-7836,902881,68
168-48-7836,937682,876
172-21-9750,104778,173
172-21-9750,168223,645
172-21-9750,185361,747
172-21-9750,209406,403
172-21-9750,245048,187
172-21-9750,769816,2
172-21-9750,821312,829
172-21-9750,897748,255
172-21-9750,933327,82
172-21-9750,953990,333
172-21-9750,970507,547
172-21-9750,993156,348
172-69-8751,126382,246
172-69-8751,154204,286
172-69-8751,159462,969
172-69-8751,234588,264
172-69-8751,369808,3
172-69-8751,411823,955
172-69-8751,416485,56
172-69-8751,440827,54
172-69-8751,560783,606
172-69-8751,653098,136
172-69-8751,674287,369
172-69-8751,823001,795
172-69-8751,852216,589
174-14-2326,199127,927
174-14-2326,432571,986
174-14-2326,559051,366
174-14-2326,631114,904
174-14-2326,635232,924
174-14-2326,662019,681
174-14-2326,701818,278
174-14-2326,935981,489
174-26-1562,166338,450
174-26-1562,249880,894
174-26-1562,368387,139
174-26-1562,468074,598
174-26-1562,502544,751
174-26-1562,503509,971
174-26-1562,609251,898
174-26-1562,616556,701
174-26-1562,774522,962
174-26-1562,786908,193
174-26-1562,851504,30
174-26-1562,927469,898
174-26-1562,936734,87
176-02-1483,186708,88
176-02-1483,216126,467
176-02-1483,368016,287
176-02-1483,410190,980
176-02-1483,523661,801
176-02-1483,651040,370
176-02-1483,693855,38
176-02-1483,733654,549
176-02-1483,802788,136
176-02-1483,839011,605
176-02-1483,892307,602
176-02-1483,927458,740
176-02-1483,935452,950
176-02-1483,948580,220
176-02-1483,966942,438
176-02-1483,995115,176
176-63-8754,186708,201
176-63-8754,216126,200
176-63-8754,368016,482
176-63-8754,410190,49
176-63-8754,523661,909
176-63-8754,651040,525
176-63-8754,693855,870
176-63-8754,733654,321
176-63-8754,802788,283
176-63-8754,839011,237
176-63-8754,892307,109
176-63-8754,927458,196
176-63-8754,935452,919
176-63-8754,948580,331
176-63-8754,966942,186
176-63-8754,995115,862
176-76-2512,184457,21
176-76-2512,216235,877
176-76-2512,294385,24
176-76-2512,455866,447
176-76-2512,701329,59
176-76-2512,820091,986
176-76-2512,840111,574
176-76-2512,889204,972
176-76-2512,916204,171
176-76-2512,916966,982
176-76-2512,961918,561
176-76-2512,962751,530
178-87-3458,165847,131
178-87-3458,383537,179
178-87-3458,522041,356
178-87-3458,608665,234
178-87-3458,658317,359
178-87-3458,674965,475
178-87-3458,682040,368
178-87-3458,807558,575
178-87-3458,841011,518
178-87-3458,880899,569
178-87-3458,890742,280
178-87-3458,957015,661
178-87-3458,995297,53
180-17-1107,118859,962
180-17-1107,155483,34
180-17-1107,309429,186
180-17-1107,419993,459
180-17-1107,648071,656
180-48-7881,181261,253
180-48-7881,230893,389
180-48-7881,236881,786
180-48-7881,237213,343
180-48-7881,340948,366
180-48-7881,341813,664
180-48-7881,373305,666
180-48-7881,431526,983
180-48-7881,562160,648
180-48-7881,567378,563
180-48-7881,663905,328
180-48-7881,767478,417
180-48-7881,786995,402
180-48-7881,846783,373
180-48-7881,993287,868
181-77-5874,192745,936
181-77-5874,200008,982
181-77-5874,233618,107
181-77-5874,238746,541
181-77-5874,298122,223
181-77-5874,368152,387
181-77-5874,633725,987
181-77-5874,730304,680
181-77-5874,768199,424
181-77-5874,854430,405
181-77-5874,889461,707
181-77-5874,894604,120
183-23-2741,111442,554
183-23-2741,191460,187
183-23-2741,251773,600
183-23-2741,285280,920
183-23-2741,340146,990
183-23-2741,357972,881
183-23-2741,366666,64
183-23-2741,468076,826
183-23-2741,646808,369
183-23-2741,748094,117
183-23-2741,810053,165
183-23-2741,870025,715
184-17-1439,138702,442
184-17-1439,297051,16
184-17-1439,316932,324
184-17-1439,328132,547
184-17-1439,396454,610
184-17-1439,475745,748
184-17-1439,597019,778
184-17-1439,632773,911
184-17-1439,667802,581
184-17-1439,740072,537
184-17-1439,853273,511
184-17-1439,879209,53
184-17-1439,904484,44
184-17-1439,946070,505
184-54-7545,199565,169
184-54-7545,262693,671
184-54-7545,264370,17
184-54-7545,296672,278
184-54-7545,354702,466
184-54-7545,366615,868
184-54-7545,388781,546
184-54-7545,431100,91
184-54-7545,580912,355
184-54-7545,596276,820
184-54-7545,789967,854
184-54-7545,951679,749
187-28-4130,205373,913
187-28-4130,331406,607
187-28-4130,345469,489
187-28-4130,397910,144
187-28-4130,399272,649
187-28-4130,614667,602
187-28-4130,650308,185
187-28-4130,736211,346
187-28-4130,740322,636
187-28-4130,816964,298
187-28-4130,990966,444
188-25-5404,104194,774
188-25-5404,167151,793
188-25-5404,318036,530
188-25-5404,428170,478
188-25-5404,543270,343
188-25-5404,622792,524
188-25-5404,733364,912
188-25-5404,965294,472
188-70-4037,339173,81
188-70-4037,474861,557
188-70-4037,475784,981
188-70-4037,519691,510
188-70-4037,573239,191
188-70-4037,764575,24
188-70-4037,769682,38
188-70-4037,877046,695
188-70-4037,992618,371
192-53-4589,345741,399
192-53-4589,414209,549
192-53-4589,456000,695
192-53-4589,495778,246
192-53-4589,614375,387
192-53-4589,780533,484
192-59-7554,153108,211
192-59-7554,208851,179
192-59-7554,403115,338
192-59-7554,455684,303
192-59-7554,463398,179
192-59-7554,521795,442
192-59-7554,578584,674
192-59-7554,737410,105
192-59-7554,812994,440
192-59-7554,902308,716
192-59-7554,946403,7
192-59-7554,965844,720
192-76-0381,264008,19
192-76-0381,470529,171
192-76-0381,481280,853
192-76-0381,550123,274
192-76-0381,665421,439
192-76-0381,675227,834
192-76-0381,723780,451
192-76-0381,762417,546
194-07-2715,156314,917
194-07-2715,282367,744
194-07-2715,351106,357
194-07-2715,415870,56
194-07-2715,547473,789
194-07-2715,646505,242
194-07-2715,700120,729
194-07-2715,703206,493
194-07-2715,703347,897
194-07-2715,880677,886
194-07-2715,986535,595
194-64-6500,114444,104
194-64-6500,155489,367
194-64-6500,160799,812
194-64-6500,178345,415
194-64-6500,212480,500
194-64-6500,234934,307
194-64-6500,266414,931
194-64-6500,422691,737
194-64-6500,989637,693
194-64-6500,990705,924
196-90-9192,300258,823
196-90-9192,325109,42
196-90-9192,354845,360
196-90-9192,428047,239
196-90-9192,547172,171
196-90-9192,572907,310
196-90-9192,661106,297
196-90-9192,976583,779
196-90-9192,986759,721
197-36-2154,126460,126
197-36-2154,152856,276
197-36-2154,203662,487
197-36-2154,420713,908
197-36-2154,490061,843
197-36-2154,605101,147
197-36-2154,605880,718
197-36-2154,632047,907
197-36-2154,837347,181
197-36-2154,892311,162
197-36-2154,903543,16
197-36-2154,965295,381
201-02-3735,211852,286
201-02-3735,243026,25
201-02-3735,300401,659
201-02-3735,341005,725
201-02-3735,379279,613
201-02-3735,387024,153
201-02-3735,398725,839
201-02-3735,419350,198
201-02-3735,449268,332
201-02-3735,470346,67
201-02-3735,496205,149
201-02-3735,599907,75
201-02-3735,612527,99
201-02-3735,647490,583
201-02-3735,727451,164
201-02-3735,736823,492
201-02-3735,750212,155
201-02-3735,819806,704
201-02-3735,885696,96
201-58-3220,126432,108
201-58-3220,330835,506
201-58-3220,378343,995
201-58-3220,397249,360
201-58-3220,443572,875
201-58-3220,806018,98
201-58-3220,809399,694
201-58-3220,809535,47
201-58-3220,852719,395
201-58-3220,879547,359
201-58-3220,880111,405
201-58-3220,923165,100
202-06-2837,137243,415
202-06-2837,185551,243
202-06-2837,272866,839
202-06-2837,404757,266
202-06-2837,488204,478
202-06-2837,618442,764
202-06-2837,626790,534
202-06-2837,661053,131
202-06-2837,670916,60
202-06-2837,856710,871
202-06-2837,886335,379
202-06-2837,894665,620
202-06-2837,977126,23
206-13-8461,101681,665
206-13-8461,152994,70
206-13-8461,197263,612
206-13-8461,199404,492
206-13-8461,209029,630
206-13-8461,231470,106
206-13-8461,294771,812
206-13-8461,314018,533
206-13-8461,391655,955
206-13-8461,427470,266
206-13-8461,441836,766
206-13-8461,472473,290
206-13-8461,490790,366
206-13-8461,514390,632
206-13-8461,546632,633
206-13-8461,576938,253
206-13-8461,591164,418
206-13-8461,623578,228
206-13-8461,784115,862
206-13-8461,827744,26
206-13-8461,874296,792
206-13-8461,926673,744
206-67-3369,187560,932
206-67-3369,222765,497
206-67-3369,327952,941
206-67-3369,617871,227
206-67-3369,646737,457
206-67-3369,798876,914
206-67-3369,936955,412
208-17-8822,101681,911
208-17-8822,152994,347
208-17-8822,197263,72
208-17-8822,199404,432
208-17-8822,209029,776
208-17-8822,231470,196
208-17-8822,294771,176
208-17-8822,314018,516
208-17-8822,391655,747
208-17-8822,427470,778
208-17-8822,441836,825
208-17-8822,472473,385
208-17-8822,490790,794
208-17-8822,514390,453
208-17-8822,546632,969
208-17-8822,576938,877
208-17-8822,591164,732
208-17-8822,623578,109
208-17-8822,784115,462
208-17-8822,827744,725
208-17-8822,874296,859
208-17-8822,926673,824
209-50-0401,244353,29
209-50-0401,685512,893
209-50-0401,813172,729
209-50-0401,917473,837
212-14-3414,156314,210
212-14-3414,282367,21
212-14-3414,351106,883
212-14-3414,415870,201
212-14-3414,547473,963
212-14-3414,646505,90
212-14-3414,700120,768
212-14-3414,703206,704
212-14-3414,703347,565
212-14-3414,880677,505
212-14-3414,986535,725
212-25-3602,130121,680
212-25-3602,159883,801
212-25-3602,179031,586
212-25-3602,226373,238
212-25-3602,233385,158
212-25-3602,506091,551
212-25-3602,565048,86
212-25-3602,591422,573
212-25-3602,771077,165
212-25-3602,849488,84
212-25-3602,877491,188
212-25-3602,902881,409
212-25-3602,937682,765
213-93-0122,152643,543
213-93-0122,190037,526
213-93-0122,202760,661
213-93-0122,320370,518
213-93-0122,384275,494
213-93-0122,397201,81
213-93-0122,463710,306
213-93-0122,665775,825
213-93-0122,693148,791
213-93-0122,848400,445
213-93-0122,884138,737
214-41-4846,153108,77
214-41-4846,208851,32
214-41-4846,403115,171
214-41-4846,455684,602
214-41-4846,463398,665
214-41-4846,521795,340
214-41-4846,578584,806
214-41-4846,737410,407
214-41-4846,812994,395
214-41-4846,902308,404
214-41-4846,946403,837
214-41-4846,965844,110
215-91-0283,300258,52
215-91-0283,325109,456
215-91-0283,354845,623
215-91-0283,428047,646
215-91-0283,547172,574
215-91-0283,572907,544
215-91-0283,661106,835
215-91-0283,976583,953
215-91-0283,986759,867
216-97-1067,111341,220
216-97-1067,200360,167
216-97-1067,203574,728
216-97-1067,527208,22
216-97-1067,554716,731
216-97-1067,682654,281
216-97-1067,800128,62
216-97-1067,941928,544
217-32-5035,382037,19
217-32-5035,579842,314
217-32-5035,936167,136
217-32-5035,947009,242
217-32-5035,983862,455
218-70-2670,211852,550
218-70-2670,243026,702
218-70-2670,300401,21
218-70-2670,341005,857
218-70-2670,379279,102
218-70-2670,387024,45
218-70-2670,398725,261
218-70-2670,419350,816
218-70-2670,449268,910
218-70-2670,470346,280
218-70-2670,496205,349
218-70-2670,599907,382
218-70-2670,612527,209
218-70-2670,647490,108
218-70-2670,727451,981
218-70-2670,736823,314
218-70-2670,750212,107
218-70-2670,819806,492
218-70-2670,885696,332
223-98-1089,339173,71
223-98-1089,474861,773
