case_id,stateofcase,court_rules,ruling,judge,dept_num,litigating_attny,max(emp_ssn),client_ssn
143127,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Gerrie Lytle,0600-112,224-34-6872,138-97-1517,332-62-8009
146278,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Pedro Rodgerson,5785-114,346-63-1828,346-63-1828,591-77-1232
150344,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Minna Gillooly,8140-120,673-33-3136,748-65-3064,311-20-5917
150747,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Derrik Sinncock,4805-104,507-84-3370,303-94-6478,711-39-4670
151369,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Rolando Curwen,2939-110,832-55-6623,820-05-8945,411-58-1504
151466,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Catie Peinton,0600-110,405-44-3872,473-56-2674,171-84-8932
152643,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Barty Oherlihy,2911-118,387-27-8434,213-93-0122,151-85-4570
152816,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Slade Boyes,7692-120,499-22-1580,336-88-2364,684-95-2471
152856,resolved,https://www.courts.wa.gov/court_rules/,guilty,Remington Savin,7692-106,742-13-0083,271-53-6537,566-44-4667
152994,in_court,https://www.courts.wa.gov/court_rules/,guilty,Gertrudis Pocknoll,2911-114,387-25-1188,777-41-2922,266-71-0615
153108,resolved,https://www.courts.wa.gov/court_rules/,guilty,Melisent Rawlins,4613-106,734-33-6049,144-49-6336,707-55-1650
153588,in_court,https://www.courts.wa.gov/court_rules/,guilty,Vyky Zapater,3360-118,723-16-6450,723-16-6450,560-51-8074
154204,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Alaster Excell,2939-102,864-80-7444,619-12-5241,441-96-0357
154497,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Adel Coles,6401-108,398-47-8954,401-36-9299,490-83-4516
155192,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Randell Jarville,3571-122,684-61-2022,684-61-2022,204-46-1564
155483,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Erhart Cullington,2021-102,789-20-8993,810-38-9901,378-70-0497
155489,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Dacia Facher,0813-106,194-64-6500,545-84-7542,585-94-5361
156314,in_court,https://www.courts.wa.gov/court_rules/,guilty,Deva Abrahamson,7922-124,121-10-6353,459-43-5955,321-44-3443
157668,resolved,https://www.courts.wa.gov/court_rules/,guilty,Sandie Rowdell,8757-112,587-84-7042,587-84-7042,754-44-2422
158224,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Fraze Mc Dermid,4805-104,440-32-1716,284-26-7916,564-41-1910
159462,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Michele Neward,2939-102,379-25-6271,615-58-9774,678-39-9089
159883,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Emilia Kauble,1568-124,129-67-0193,212-25-3602,792-64-2058
160113,resolved,https://www.courts.wa.gov/court_rules/,guilty,Hanna Dax,8140-124,658-32-7840,739-95-4284,823-18-9768
160477,in_court,https://www.courts.wa.gov/court_rules/,guilty,Murial Calyton,0813-110,598-24-8401,154-07-9921,898-91-8536
160799,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Melisa Maraga,0813-106,821-45-0681,132-66-1834,268-90-1937
163529,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Glynda Denacamp,2911-122,387-21-5553,387-21-5553,755-44-2185
164333,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Briana McRavey,1947-124,834-99-3273,241-65-5732,773-99-1274
165740,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Nannie Dewen,6401-100,427-38-2608,597-59-4342,283-02-1994
165847,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Korrie Doers,0813-114,178-87-3458,631-32-6477,566-95-3358
166338,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Zorine Grundy,1568-100,835-10-7201,785-72-8669,341-47-5222
167151,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Annnora Bloxland,3571-102,308-16-1736,308-16-1736,593-71-0102
167800,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Miles Springall,1947-124,589-60-0085,589-60-0085,439-16-1273
168223,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Kathlin Currington,6374-102,172-21-9750,327-54-2736,488-13-1804
168244,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Maximilianus Backshall,2939-108,843-70-5633,843-70-5633,521-67-5925
170172,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Timmi Benini,5785-114,681-81-2305,681-81-2305,741-68-5610
173891,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Micah Caldera,6708-106,428-19-9096,444-47-9809,862-38-8937
176963,in_court,https://www.courts.wa.gov/court_rules/,guilty,Sher Slixby,6401-106,167-13-6696,316-42-4973,846-32-6152
178345,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Sydney McFarlan,0813-106,132-66-1834,837-53-9845,683-93-2868
179031,in_court,https://www.courts.wa.gov/court_rules/,guilty,Candace Dornin,1568-124,432-26-8411,432-26-8411,320-62-3984
179348,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Trude Bubeer,0813-110,287-83-1678,598-24-8401,683-59-5486
179413,resolved,https://www.courts.wa.gov/court_rules/,guilty,Hamnet Ros,2939-104,699-18-9855,737-42-2809,445-64-5214
180448,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Brnaba Waith,1947-124,834-99-3273,852-18-2405,773-99-1274
181261,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Ali Vitall,8140-114,502-07-5870,823-62-6693,363-97-3748
181500,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Flemming Huguenet,1947-124,586-19-1720,834-99-3273,335-01-7637
181996,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Sammy Wyley,7817-106,571-07-4367,236-99-0161,492-81-2393
182611,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Ingamar Dumbelton,6708-116,436-87-5921,525-18-0199,152-94-4764
183980,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Currey Botterman,3571-122,398-03-2606,808-61-0341,357-95-4869
184457,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Elyn Shimony,2021-124,792-55-1607,792-55-1607,369-38-9274
185361,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Ninnette Gaine,6374-102,327-54-2736,523-12-5214,100-49-3490
185551,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Garvey Greenier,4805-108,296-58-5198,597-92-7107,577-45-6464
186708,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Kahaleel McPeeters,1100-110,369-15-2521,513-50-6056,398-46-1480
187370,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Ophelie Nemchinov,4773-102,367-13-0639,628-43-8933,669-64-9292
187560,resolved,https://www.courts.wa.gov/court_rules/,guilty,Jeane Whitsun,5785-110,108-23-4456,206-67-3369,733-15-0300
189592,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Valentijn Vasyutochkin,8140-120,748-65-3064,748-65-3064,837-78-8261
190037,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Prent Selly,2911-118,213-93-0122,213-93-0122,315-38-4426
190882,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Corrie Howton,6401-108,401-36-9299,526-03-5422,160-51-6345
191460,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Emma Mulloch,1568-108,665-15-4411,448-28-9062,793-86-6496
192413,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Grayce Saynor,6708-120,526-88-7489,526-88-7489,803-59-9631
192745,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Tabatha Playdon,7692-118,599-45-5344,604-30-9646,579-84-8782
193263,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Darsie Boise,6401-100,312-19-1735,781-10-6571,889-02-3506
193968,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Hansiain Knightly,4805-104,303-94-6478,698-48-7328,847-90-6201
197175,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Elsy Munkton,6401-112,512-36-8280,856-81-7846,659-65-0861
197263,resolved,https://www.courts.wa.gov/court_rules/,guilty,Padraig Ambrosio,2911-114,656-51-2165,777-41-2922,827-59-7195
197645,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Waylen Sheridan,6708-120,472-29-6570,886-97-5882,883-62-2119
198364,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Myer Currington,3704-104,800-29-9360,136-51-8043,456-26-1606
199009,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Lance Dinnage,3360-118,476-57-0400,805-22-4564,757-29-0118
199127,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Brendan Kimmings,8757-122,116-93-3582,174-14-2326,755-72-7190
199404,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Arda Ferrar,2911-114,149-29-8407,777-41-2922,151-05-9205
199565,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Tracee Booij,4773-104,351-30-5734,286-15-0027,538-82-2223
199846,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Hedda Sims,2423-122,111-12-2834,258-70-5396,878-91-9752
200008,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Nicky Ciepluch,7692-118,780-59-2672,599-45-5344,779-57-3904
200360,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Meridith Badder,8140-100,283-73-0943,616-98-3400,360-69-5616
201331,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Oran Worrill,1100-104,710-23-9657,738-33-5317,401-28-5341
201580,in_court,https://www.courts.wa.gov/court_rules/,guilty,Cherey Bleier,6708-116,436-87-5921,525-18-0199,570-98-5203
202760,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Worden Jex,2911-118,381-97-9579,387-27-8434,767-88-8801
203574,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Graig Kaygill,8140-100,249-94-3751,249-94-3751,822-97-6703
203662,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Jone Thomsen,7692-106,742-13-0083,351-54-0549,641-08-1144
203886,in_court,https://www.courts.wa.gov/court_rules/,guilty,Dione Danzey,1489-100,647-34-5812,763-47-7190,645-67-9498
205373,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Humfrid Sauvage,6401-110,187-28-4130,291-47-1944,167-26-5669
206142,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Reina Skipper,2911-106,785-62-8259,679-63-3737,755-17-9760
206981,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Darbee Olyff,8140-124,140-86-5145,742-85-9121,310-55-6775
207985,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Blanca Cleal,6708-120,750-95-8080,799-04-0889,883-62-2119
208851,resolved,https://www.courts.wa.gov/court_rules/,guilty,Cristy Tetla,4613-106,735-25-5363,756-62-6086,636-01-9236
209029,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Delores Ebbrell,2911-114,208-17-8822,656-51-2165,706-84-1520
209406,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Walt Roskelly,6374-102,327-54-2736,327-54-2736,772-83-3329
211096,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Gray Zold,4700-104,104-61-6529,564-13-6541,231-14-3431
211678,in_court,https://www.courts.wa.gov/court_rules/,guilty,Nanette Andri,6708-122,147-25-5196,667-46-4297,882-60-5289
211852,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Alta Polotti,1100-116,335-63-1324,218-70-2670,651-29-7125
212095,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Tyler Filler,4773-118,610-32-3260,879-06-2158,667-86-2055
212480,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Martynne Augur,0813-106,194-64-6500,402-36-0232,899-49-6176
213468,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Barthel Camolli,1100-100,681-74-9879,887-58-5875,452-51-3479
213982,resolved,https://www.courts.wa.gov/court_rules/,guilty,Piotr Cisson,0813-110,307-70-6151,598-24-8401,677-76-4680
216126,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Nady Dowdell,1100-110,176-02-1483,513-50-6056,398-46-1480
216235,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Michal Breens,2021-124,176-76-2512,821-13-8845,776-80-5548
217408,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Siobhan Samber,2939-110,129-89-0414,556-29-9446,522-61-6698
218980,resolved,https://www.courts.wa.gov/court_rules/,guilty,Wendall Zecchinii,3360-118,805-22-4564,560-32-7632,560-51-8074
221157,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Vincenty Cancellieri,6708-106,530-30-0774,882-25-8581,462-56-1980
222765,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Therese Cordobes,5785-110,108-23-4456,788-82-7494,875-16-4009
224638,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Knox Whiterod,8757-112,261-18-2166,261-18-2166,739-51-2256
224930,resolved,https://www.courts.wa.gov/court_rules/,guilty,Melvin Aidler,4805-104,284-26-7916,412-64-9829,849-92-5873
225381,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Damita Carrett,1489-100,647-34-5812,124-06-6949,804-42-8235
226373,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Karen Brayford,1568-124,129-67-0193,129-67-0193,113-68-7577
230893,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Mag Enston,8140-114,502-07-5870,226-63-8285,215-48-0866
231470,resolved,https://www.courts.wa.gov/court_rules/,guilty,Hilda Reddick,2911-114,777-41-2922,208-17-8822,548-34-8167
231679,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Linnea Nashe,2423-124,240-39-4866,134-35-3337,875-61-0295
232025,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Brady Robottom,2939-108,804-19-1491,804-19-1491,628-90-9186
232327,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Bradford Chateau,0600-110,882-23-2908,405-44-3872,332-21-7771
233385,in_court,https://www.courts.wa.gov/court_rules/,not guilty,John Goggen,1568-124,432-26-8411,212-25-3602,339-61-9896
233564,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Regan Boother,2939-104,250-83-5541,258-21-1460,521-59-3048
233618,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Jocelyn Daton,7692-118,599-45-5344,780-59-2672,684-15-9536
234588,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Jordanna Coping,2939-102,253-16-0168,864-80-7444,678-39-9089
234934,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Quentin Mushawe,0813-106,545-84-7542,402-36-0232,557-44-3432
236157,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Holli Gini,4773-118,832-54-9261,252-85-2441,814-98-6336
236881,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Aylmer Stearn,8140-114,502-07-5870,180-48-7881,714-08-5799
237213,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Osbourn Scutter,8140-114,280-27-5377,502-07-5870,822-11-6985
238746,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Gav Lundie,7692-118,181-77-5874,780-59-2672,779-57-3904
239323,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Roselle MacCarrane,4268-124,705-80-7358,685-85-0594,675-77-6673
239446,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Maggee Wolfindale,6708-116,436-87-5921,436-87-5921,428-46-0418
239891,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Norrie Holyland,3360-118,560-32-7632,723-16-6450,769-47-5161
242036,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Elbertina Harbin,2939-108,116-05-2373,788-67-1250,441-92-1584
242391,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Lewie McCann,1489-100,761-32-6811,647-34-5812,545-90-3315
242698,resolved,https://www.courts.wa.gov/court_rules/,guilty,Massimo Binning,1100-104,685-34-7700,760-72-0196,651-36-4744
243026,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Arabel Hamelyn,1100-116,335-63-1324,571-47-1263,651-29-7125
244353,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Emlynne Kerswill,6401-114,209-50-0401,739-76-3667,892-18-8501
245048,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Trever De Fries,6374-102,172-21-9750,172-21-9750,571-69-8639
245207,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Janis Nolte,3360-118,488-08-2600,488-08-2600,769-47-5161
245498,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Sig Vanyarkin,7817-106,764-57-0411,649-04-2975,729-30-1909
248004,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Basia Murrock,1489-100,763-47-7190,763-47-7190,810-55-5967
248988,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Emilee Holtaway,7817-106,571-07-4367,764-57-0411,397-38-1542
249880,resolved,https://www.courts.wa.gov/court_rules/,guilty,Miranda Dybald,1568-100,835-10-7201,855-46-2794,321-24-7796
250704,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Skyler Crosi,6708-116,867-22-7460,878-58-7566,633-76-5946
251609,resolved,https://www.courts.wa.gov/court_rules/,guilty,Geoff McGillecole,6401-108,526-03-5422,850-48-9127,278-86-6423
251773,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Clarine Sushams,1568-108,183-23-2741,665-15-4411,104-42-5200
252384,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Ennis Bridgewater,5785-114,428-13-0731,671-99-5556,832-19-2656
252558,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Jodie Castagne,1100-104,112-21-7280,290-19-1965,451-78-3005
255331,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Kaine McSporrin,0600-110,432-30-5886,391-17-3340,481-95-6909
258441,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Lonni Hazzard,5785-114,346-63-1828,346-63-1828,417-80-6328
258891,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Grant Gepson,2939-104,737-42-2809,709-44-1544,631-20-6617
259070,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Natka Burriss,6708-116,436-87-5921,736-55-6485,800-51-4229
261759,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Oneida Roth,2423-124,881-63-9972,852-49-1213,607-67-2950
262693,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Oralla Lightwing,4773-104,184-54-7545,699-48-0806,668-22-1890
264008,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Manny Glander,0600-104,461-03-6455,547-79-4994,794-08-5162
264370,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Jenny Malin,4773-104,348-53-8824,286-15-0027,538-82-2223
266177,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Drusy Maclaine,4613-118,564-90-4413,392-97-5340,326-68-1618
266414,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Norry Simmig,0813-106,567-16-4962,567-16-4962,683-93-2868
266839,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Bren Benbough,4805-104,507-84-3370,412-64-9829,849-92-5873
268831,resolved,https://www.courts.wa.gov/court_rules/,guilty,Cece Harryman,6708-122,356-37-7354,334-02-5035,406-06-3040
269148,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Toma Kiljan,7692-120,336-88-2364,628-35-8432,738-88-8230
271203,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Martie Ipsly,1489-100,763-47-7190,763-47-7190,720-96-0742
271463,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Reta Hold,4268-124,356-39-0126,705-80-7358,691-75-2068
272833,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Margaux Pavett,6708-120,526-88-7489,642-33-3501,137-83-6751
272866,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Albert Barfitt,4805-108,268-26-5544,296-58-5198,174-86-2671
273328,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Bridget Stannah,2939-100,446-83-3410,856-13-9614,396-64-0067
273708,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Reine Dimond,6401-106,730-19-0601,446-50-1616,604-52-1509
273792,resolved,https://www.courts.wa.gov/court_rules/,guilty,Brook Long,2939-100,693-02-3767,712-06-2292,415-09-0404
276125,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Andris Ibbetson,8757-112,261-18-2166,587-84-7042,755-63-4512
281924,resolved,https://www.courts.wa.gov/court_rules/,guilty,Debby Dedney,4613-118,392-97-5340,612-84-0564,707-42-2420
282309,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Romeo Butt,6401-112,129-75-5405,512-36-8280,843-09-1240
282367,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Dorette Lugsdin,7922-124,258-69-7111,816-67-9264,676-03-0943
283064,in_court,https://www.courts.wa.gov/court_rules/,not guilty,Padraig D'Oyley,4268-124,705-80-7358,685-85-0594,762-76-6208
283763,in_court,https://www.courts.wa.gov/court_rules/,guilty,Freeman Jewel,2423-122,111-12-2834,258-70-5396,719-39-5097
284289,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Murdock Eddy,1947-106,717-12-6742,439-23-0646,868-82-9733
284313,in_court,https://www.courts.wa.gov/court_rules/,guilty,Guthrie Firidolfi,8140-124,166-66-0721,505-65-0712,723-85-5268
